iter	Passed	Remaining
547	15229	12561
548	15253	12530
549	15277	12499
550	15298	12466
551	15327	12439
552	15353	12410
553	15377	12379
554	15408	12354
555	15432	12323
556	15456	12292
557	15481	12262
558	15510	12236
559	15541	12210
560	15567	12182
561	15595	12154
562	15636	12137
563	15667	12111
564	15693	12082
565	15725	12057
566	15755	12031
567	15785	12005
568	15817	11981
569	15845	11953
570	15871	11924
571	15892	11891
572	15915	11860
573	15938	11829
574	15967	11801
575	15995	11774
576	16018	11743
577	16043	11713
578	16072	11686
579	16103	11661
580	16126	11630
581	16152	11600
582	16174	11569
583	16203	11542
584	16234	11516
585	16305	11519
586	16339	11495
587	16375	11473
588	16407	11449
589	16438	11423
590	16461	11391
591	16486	11362
592	16509	11331
593	16535	11302
594	16557	11270
595	16578	11237
596	16600	11206
597	16625	11176
598	16647	11144
599	16674	11116
600	16706	11091
601	16726	11058
602	16753	11029
603	16785	11005
604	16806	10973
605	16835	10945
606	16863	10918
607	16898	10895
608	16927	10868
609	16950	10837
610	16974	10807
611	17013	10786
612	17043	10759
613	17065	10728
614	17091	10699
615	17113	10668
616	17142	10640
617	17167	10611
618	17191	10581
619	17217	10552
620	17249	10527
621	17274	10498
622	17298	10467
623	17321	10437
624	17344	10406
625	17373	10379
626	17392	10346
627	17423	10321
628	17449	10292
629	17482	10267
630	17516	10243
631	17553	10220
632	17586	10196
633	17613	10168
634	17644	10142
635	17678	10117
636	17704	10089
637	17727	10058
638	17755	10030
639	17788	10005
640	17814	9977
641	17846	9951
642	17879	9927
643	17912	9901
644	17940	9874
645	17972	9848
646	18000	9821
647	18029	9793
648	18058	9766
649	18083	9737
650	18108	9707
651	18135	9679
652	18160	9650
653	18184	9620
654	18220	9596
655	18243	9566
656	18275	9541
657	18306	9514
658	18331	9485
659	18364	9460
660	18387	9430
661	18429	9409
662	18463	9384
663	18494	9358
664	18520	9330
665	18551	9303
666	18579	9275
667	18609	9249
668	18640	9222
669	18667	9194
670	18692	9164
671	18718	9136
672	18748	9109
673	18779	9083
674	18802	9052
675	18836	9028
676	18862	8999
677	18891	8972
678	18927	8947
679	18953	8919
680	18985	8893
681	19024	8870
682	19051	8842
683	19083	8816
684	19120	8792
685	19160	8770
686	19186	8741
687	19211	8712
688	19240	8684
689	19260	8653
690	19286	8624
691	19319	8598
692	19346	8570
693	19376	8543
694	19419	8522
695	19487	8511
696	19520	8485
697	19561	8463
698	19600	8440
699	19632	8414
700	19654	8383
701	19684	8356
702	19713	8328
703	19741	8300
704	19764	8270
705	19792	8242
706	19825	8216
707	19850	8187
708	19885	8161
709	19909	8131
710	19936	8103
711	19962	8074
712	19990	8046
713	20020	8019
714	20048	7991
715	20067	7959
716	20095	7931
717	20120	7902
718	20145	7873
719	20173	7845
720	20203	7817
721	20227	7788
722	20256	7760
723	20280	7731
724	20304	7701
725	20336	7675
726	20369	7648
727	20394	7619
728	20417	7589
729	20451	7564
730	20482	7537
731	20506	7507
732	20530	7478
733	20558	7450
734	20586	7422
735	20614	7394
736	20646	7367
737	20672	7339
738	20699	7310
739	20728	7283
740	20751	7253
741	20772	7222
742	20803	7195
743	20831	7167
744	20860	7140
745	20888	7112
746	20909	7081
747	20933	7052
748	20961	7024
749	21001	7000
750	21036	6974
751	21070	6948
752	21100	6921
753	21123	6891
754	21140	6860
755	21166	6831
756	21192	6802
757	21215	6773
758	21243	6745
759	21273	6717
760	21300	6689
761	21326	6661
762	21349	6631
763	21379	6604
764	21405	6575
765	21432	6547
766	21464	6520
767	21487	6491
768	21522	6465
769	21546	6435
770	21569	6406
771	21605	6380
772	21635	6353
773	21658	6324
774	21685	6295
775	21713	6267
776	21747	6241
777	21774	6213
778	21800	6184
779	21831	6157
780	21859	6129
781	21889	6102
782	21915	6073
783	21953	6048
784	21977	6019
785	22003	5990
786	22031	5962
787	22060	5934
788	22083	5905
789	22112	5877
790	22136	5848
791	22164	5821
792	22190	5792
793	22222	5765
794	22251	5737
795	22284	5711
796	22311	5682
797	22347	5656
798	22371	5627
799	22397	5599
800	22423	5570
801	22448	5542
802	22475	5513
803	22502	5485
804	22537	5459
805	22567	5431
806	22595	5403
807	22623	5375
808	22654	5348
809	22686	5321
810	22714	5293
811	22746	5266
812	22772	5237
813	22808	5211
814	22832	5182
815	22862	5155
816	22891	5127
817	22912	5097
818	22941	5070
819	22973	5042
820	23006	5016
821	23037	4988
822	23064	4960
823	23094	4932
824	23121	4904
825	23149	4876
826	23171	4847
827	23200	4819
828	23233	4792
829	23259	4764
830	23291	4736
831	23319	4708
832	23345	4680
833	23372	4652
834	23399	4623
835	23424	4595
836	23452	4567
837	23477	4538
838	23510	4511
839	23541	4484
840	23570	4456
841	23631	4434
842	23659	4406
843	23679	4376
844	23706	4348
845	23740	4321
846	23769	4293
847	23794	4265
848	23825	4237
849	23862	4210
850	23885	4182
851	23920	4155
852	23946	4126
853	23976	4099
854	24006	4071
855	24034	4043
856	24061	4014
857	24096	3988
858	24123	3959
859	24147	3930
860	24177	3903
861	24209	3875
862	24240	3848
863	24270	3820
864	24299	3792
865	24328	3764
866	24351	3735
867	24377	3707
868	24407	3679
869	24439	3651
870	24462	3623
871	24494	3595
872	24524	3567
873	24547	3538
874	24580	3511
875	24612	3483
876	24647	3456
877	24679	3429
878	24707	3401
879	24737	3373
880	24767	3345
881	24795	3317
882	24829	3289
883	24859	3262
884	24894	3234
885	24919	3206
886	24949	3178
887	24973	3149
888	25000	3121
889	25029	3093
890	25052	3064
891	25078	3036
892	25105	3008
893	25125	2979
894	25155	2951
895	25188	2923
896	25211	2894
897	25246	2867
898	25275	2839
899	25302	2811
900	25332	2783
901	25360	2755
902	25391	2727
903	25425	2700
904	25457	2672
905	25492	2644
906	25523	2617
907	25557	2589
908	25580	2560
909	25610	2532
910	25645	2505
911	25674	2477
912	25699	2448
913	25728	2420
914	25751	2392
915	25776	2363
916	25802	2335
917	25835	2307
918	25862	2279
919	25890	2251
920	25922	2223
921	25955	2195
922	25978	2167
923	26003	2138
924	26027	2110
925	26058	2082
926	26085	2054
927	26110	2025
928	26139	1997
929	26169	1969
930	26196	1941
931	26227	1913
932	26260	1885
933	26290	1857
934	26314	1829
935	26346	1801
936	26373	1773
937	26408	1745
938	26433	1717
939	26461	1689
940	26487	1660
941	26520	1632
942	26541	1604
943	26568	1576
944	26589	1547
945	26617	1519
946	26642	1491
947	26672	1463
948	26700	1434
949	26725	1406
950	26752	1378
