iter	RMSE
364	32173.02394
365	32155.65896
366	32139.96178
367	32129.98196
368	32114.00813
369	32110.31635
370	32086.41917
371	32082.35529
372	32070.78276
373	32048.23912
374	32039.21442
375	32028.05536
376	31999.08896
377	31980.13846
378	31970.79605
379	31964.74469
380	31957.57074
381	31951.9019
382	31939.81372
383	31925.16224
384	31918.82188
385	31907.38111
386	31879.21379
387	31860.79089
388	31836.97688
389	31821.86282
390	31808.8623
391	31793.12893
392	31781.15044
393	31773.14922
394	31751.36803
395	31738.24814
396	31717.16872
397	31708.99023
398	31701.8873
399	31690.9735
400	31684.81242
401	31674.60387
402	31658.30885
403	31648.98637
404	31613.64607
405	31601.61356
406	31583.16087
407	31572.98529
408	31559.03685
409	31549.60541
410	31536.29903
411	31527.85722
412	31516.05353
413	31504.25067
414	31500.26668
415	31491.94721
416	31479.38765
417	31472.75272
418	31463.93193
419	31444.59739
420	31429.56044
421	31419.63883
422	31412.72278
423	31404.30556
424	31396.89105
425	31385.40774
426	31374.10621
427	31364.50108
428	31357.56544
429	31351.0567
430	31333.13316
431	31327.15277
432	31299.51238
433	31291.49924
434	31281.25846
435	31264.27222
436	31251.50897
437	31239.03354
438	31223.09271
439	31197.70782
440	31190.63338
441	31179.60769
442	31172.34474
443	31163.8787
444	31158.10338
445	31140.2278
446	31129.0695
447	31118.65881
448	31103.50434
449	31084.6601
450	31076.39322
451	31046.87784
452	31032.73592
453	31022.59605
454	31013.60502
455	30999.68855
456	30993.41503
457	30982.79314
458	30975.8175
459	30962.90211
460	30956.96324
461	30950.55279
462	30941.66498
463	30928.66096
464	30921.25963
465	30912.08809
466	30904.85946
467	30897.13437
468	30880.8711
469	30873.8059
470	30865.21947
471	30859.60667
472	30852.57309
473	30834.30418
474	30826.80229
475	30816.11666
476	30805.40782
477	30798.63031
478	30789.28534
479	30774.19329
480	30764.62536
481	30742.59258
482	30722.87397
483	30708.95391
484	30694.6229
485	30682.92663
486	30675.51892
487	30668.06591
488	30658.2477
489	30643.76377
490	30637.954
491	30629.42851
492	30612.36773
493	30607.04466
494	30601.12219
495	30592.14024
496	30584.91352
497	30570.93893
498	30561.7318
499	30549.04455
500	30541.26069
501	30531.25888
502	30521.35714
503	30514.07441
504	30500.33369
505	30493.88031
506	30482.60883
507	30464.30836
508	30456.48529
509	30439.07694
510	30431.55394
511	30419.77781
512	30406.44742
513	30401.5396
514	30397.79096
515	30394.36947
516	30378.10042
517	30368.6568
518	30360.55863
519	30348.10836
520	30337.5988
521	30332.21875
522	30326.74113
523	30320.08216
524	30311.23975
525	30298.71064
526	30286.60628
527	30277.11232
528	30271.38878
529	30262.23999
530	30256.43142
531	30242.88761
532	30226.31657
533	30216.83429
534	30213.22497
535	30201.90642
536	30196.97228
537	30192.06725
538	30180.7581
539	30163.63474
540	30155.26509
541	30151.38714
542	30142.049
543	30138.72643
544	30134.02777
545	30126.22742
546	30119.72668
547	30112.55716
548	30109.62827
549	30106.51439
550	30086.39581
551	30079.48787
552	30059.36883
553	30051.14932
554	30047.39679
555	30041.11291
556	30033.11537
557	30028.58168
558	30022.53022
559	30018.12052
560	30010.37009
561	30008.33675
562	30000.3189
563	29994.04481
564	29989.02915
565	29979.6868
566	29973.52097
567	29969.09149
568	29962.1777
569	29958.32725
570	29950.29343
571	29949.48578
572	29945.63213
573	29931.93292
574	29925.21178
575	29907.49408
576	29902.8903
577	29897.10872
578	29889.83177
579	29882.39725
580	29871.10795
581	29864.43296
582	29856.85732
583	29844.79403
584	29836.63367
585	29830.31023
586	29818.66346
587	29814.8771
588	29811.14673
589	29803.61968
590	29800.28445
591	29795.11794
592	29783.50685
593	29768.58243
594	29762.46192
595	29753.27938
596	29731.32662
597	29726.7032
598	29718.40298
599	29709.70441
600	29705.30634
601	29701.52098
602	29693.59974
603	29686.99473
604	29681.211
605	29666.55191
606	29655.99659
607	29645.21358
608	29639.15488
609	29634.87396
610	29628.27709
611	29616.8923
612	29611.99336
613	29602.29121
614	29598.33058
615	29591.86285
616	29589.1628
617	29578.50464
618	29577.93467
619	29572.71692
620	29567.84486
621	29564.39757
622	29560.99079
623	29556.58866
624	29549.44588
625	29541.81347
626	29539.53247
627	29536.82884
628	29530.50022
629	29526.22105
630	29520.97305
631	29518.20936
632	29514.01705
633	29509.51665
634	29503.37894
635	29503.27681
636	29492.26347
637	29485.30298
638	29478.55482
639	29471.65111
640	29465.5703
641	29461.53975
642	29448.25537
643	29442.19335
644	29434.68092
645	29422.02152
646	29412.51416
647	29404.47355
648	29402.06895
649	29393.72942
650	29381.97463
651	29369.53054
652	29352.35421
653	29343.4849
654	29336.85101
655	29325.62105
656	29322.92522
657	29303.51577
658	29289.75989
659	29288.01856
660	29281.71754
661	29281.40916
662	29279.75554
663	29273.32818
664	29267.12439
665	29262.26541
666	29258.05314
667	29254.57725
668	29246.13795
669	29243.36653
670	29239.9702
671	29235.91037
672	29222.33785
673	29218.43749
674	29200.65969
675	29195.92393
676	29193.1782
677	29188.17241
678	29182.32673
679	29163.88342
680	29158.48489
681	29148.13394
682	29142.86696
683	29131.06864
684	29125.53112
685	29121.36583
686	29112.75963
687	29103.9631
688	29093.16388
689	29082.46923
690	29078.10613
691	29074.04007
692	29069.35884
693	29066.75633
694	29062.64042
695	29059.91711
696	29056.19371
697	29053.40745
698	29050.89479
699	29044.49545
700	29036.04821
701	29030.24325
702	29027.98067
703	29024.77237
704	29019.95589
705	29015.52527
706	29011.73238
707	29008.11099
708	29005.12523
709	29000.75863
710	28988.62484
711	28987.36613
712	28981.81913
713	28975.86411
714	28973.48258
715	28964.1944
716	28956.9638
717	28953.20893
718	28948.71189
719	28938.98166
720	28930.16306
721	28921.35427
722	28912.72712
723	28907.22639
724	28904.28968
725	28898.89767
726	28897.21585
727	28892.25948
728	28889.04452
729	28886.68823
730	28881.0321
731	28878.13241
732	28873.62881
